Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
METALCENTER S.A.,-0.007012292,0,-0.007078,0.14891,0.153348,-0.305173,0.604193,0
MOLTO SAS,-0.023968742,0,-0.023969,0.010986,0.038946,-1.496543,0.202214,0
MOTO SPORT CONCESIONARIA SAS,0.044399236,0,0.031333,0.095981,0.003786,2.099542,2.237155,0
MUNDIAL DE MONTACARGAS SAS,0.202920439,0,0.119783,0.202773,0.069492,0.736114,1.272094,0
MUNDIAL DE PERFILES LTDA,0.050203177,0.028046,0.013843,0.020513,0.292722,0.245262,1.544968,0
Maz Proyectos Inmobiliarios SAS,0.034311189,0,0.033982,0.586939,0.063806,0.027216,0.390653,0
Metal Acrilato Sa,0.06893537,0.038838,0.019151,0.194386,0.128152,0.952804,0.9266,0
NARANJALES DEL CAUCA S.A.S,0.076269947,0.012438,0.052196,0.021266,0.036082,2.240826,2.233691,0
NATIVA CONSTRUCCIONES S.A.S.,0.04880292,0.001475,0.046987,0.533207,0.035114,0.106249,0.089763,0
NATURAL FOOD SAS,0.03488877,0.020892,0.007897,0.022409,0.05855,1.171534,0.570071,0
NATURAL SYSTEMS INTERNATIONAL S.A,0.200378034,0,0.127736,0.197832,0.137937,0.808392,0.556608,0
NEGOCIOS DEL CESAR SAS,0.173910211,0.019586,0.098154,0.059607,0.210551,0,2.896959,0
NUÑEZ Y NOGALES SAS,0.032254906,0,0.019532,0.184331,0.188211,0.964422,0.549668,0
OASIS FLORALIFE COLOMBIA SAS,0.148410137,0.019841,0.083842,0.240344,0.178816,0,1.541517,0
ODINEC S.A. EN PROCESO DE NEGOCIACIÓN DE EMERGENCIA,0.071913883,0.050201,0.025717,0.379483,0.080201,0.286668,-0.001663,0
OFIEXPORT S.A.S.,0.157938089,0.046146,0.075453,0.43873,0.158593,0.432234,1.482385,0
OFIMA SAS,0.007745275,0.009628,-0.016504,0.174833,0.028371,0,1.459868,0
OPEN LOGISTICA SAS,0.059717752,0.010102,0.03225,0.264447,0.000185,0,1.943365,0
ORGANIZACIÓN EDUCATIVA ARENAS GONZALEZ SAS,0.050709606,0.020662,0.023279,0.353819,0.258693,0.679229,0.140991,0
PAGA SA,0.007703032,0.012911,0.000789,0.006831,0.101155,0.1272,0.312325,0
PALMAR DEL GIRAMENA SAS,0.065553913,0.022657,0.025889,0.201792,0.061203,0.61623,3.977806,0
PANAMERICAN DREDGING & ENGINEERING SAS,0.144962157,0.041537,0.077351,0.485196,0.177877,0,1.048351,0
PAPELERIA EL PINGUINO SAS,0.033697439,0.009874,0.013879,0.059788,0.153579,0,0.859906,0
PEAR SOLUTIONS SAS,0.064037394,0.029818,0.017403,0.221426,0.130525,0.400765,1.01104,0
PISOS INUSTRIALES JCR SAS,0.119183241,0.005221,0.061101,0.134394,0.028594,0.688804,3.038497,0
POLYUPROTEC SOCIEDAD ANONIMA,0.110770913,0.038904,0.045419,0.228155,0.194983,0.404987,1.135918,0
PRAMEC SAS,0.072577777,0.036579,0.0774,0.259114,0.282673,1.233409,2.926862,0
PROAGROMIX SAS,0.044089282,0.002707,0.040631,0.219194,0.206527,0,2.424629,0
PROCESADORA DE ARROCES PROARROZ SAS,0.122791924,0.01698,0.066154,0.089713,0.063955,1.296898,2.956041,0
PRODUCTOS LACTEOS COLFRANCE CP S EN C,0.042443364,0.021753,0.009804,0.093928,0.201311,0.381979,0.224535,0
PRODUCTOS MORGAN SAS,0.138536513,0.043408,0.102709,0.145405,0.103769,0,2.420573,0
PRODUCTOS VICKY SAS,0.077312868,0.056573,0.013752,0.198718,0.19467,1.249943,0.38241,0
PRODUGRAFICAS SAS,0.131912124,0.053844,0.04673,0.329981,0.115781,0.523718,0.918527,0
PROMOTORA HOTELELRA DE LA SABANA SAS,0.038210909,0,0.024837,0.001509,0.009106,0,0.162045,0
PUNTO DE SERVICIOS S.A,0.014986691,0,0.006436,0.121623,0.169924,0.01635,0.512514,0
PUNTO FERRETERO ARANGO Y CIA LTDA,0.034614986,0.000622,0.038167,0.297822,0.133923,0.767579,1.218111,0
